datetime,temperature,humidity,pressure,weather
2024-08-10 23:51:45,8.7,93,1023,overcast clouds
2024-08-10 23:59:44,8.7,93,1023,overcast clouds
2024-08-11 00:02:13,8.7,93,1023,overcast clouds
2024-08-11 00:18:27,8.7,93,1023,overcast clouds
2024-08-11 00:20:19,8.7,93,1023,overcast clouds
2024-08-11 00:25:27,8.7,93,1023,overcast clouds
2024-08-11 15:06:29,17.03,55,1014,light rain
2024-08-11 15:53:48,17.03,59,1014,light rain
2024-08-11 16:48:46,18.03,52,1015,light rain
2024-08-11 21:40:14,9.03,87,1022,few clouds
2024-08-12 08:26:46,9.03,87,1021,fog
2024-08-12 08:38:34,9.03,87,1020,fog
2024-08-12 08:42:20,9.03,87,1020,fog
2024-08-12 08:46:08,9.03,87,1020,fog
2024-08-12 10:17:03,11.03,76,1019,broken clouds
2024-08-13 09:10:03,12.02,78,1022,overcast clouds
2024-08-13 09:54:09,10.03,76,1021,broken clouds
2024-08-13 10:06:03,10.03,76,1021,broken clouds
2024-08-13 10:08:02,10.03,76,1021,broken clouds
2024-08-13 10:15:02,10.03,76,1021,broken clouds
2024-08-13 10:30:03,12.03,66,1020,scattered clouds
2024-08-13 10:45:01,12.03,66,1020,scattered clouds
2024-08-13 11:15:14,11.03,71,1020,broken clouds
2024-08-13 11:30:02,11.03,71,1019,broken clouds
2024-08-13 11:45:01,11.03,71,1019,broken clouds
2024-08-13 12:00:02,11.03,71,1019,broken clouds
2024-08-13 12:15:02,12.03,71,1019,broken clouds
2024-08-13 12:30:03,12.03,71,1017,broken clouds
2024-08-13 12:45:02,12.03,71,1017,broken clouds
2024-08-13 13:00:02,12.03,71,1017,broken clouds
2024-08-13 13:15:02,13.03,62,1017,broken clouds
2024-08-13 13:30:02,13.03,62,1015,broken clouds
2024-08-13 13:45:03,13.03,62,1015,broken clouds
2024-08-13 15:15:02,15.03,55,1014,scattered clouds
2024-08-13 16:00:01,15.03,55,1015,scattered clouds
2024-08-13 16:15:02,16.03,41,1015,scattered clouds
2024-08-13 21:45:02,8.03,81,1023,few clouds
2024-08-13 22:00:03,8.03,81,1023,few clouds
2024-08-13 22:15:03,8.9,89,1023,broken clouds
2024-08-13 22:30:02,7.03,87,1024,few clouds
2024-08-13 22:45:02,7.03,87,1024,few clouds
2024-08-13 23:00:02,7.03,87,1024,few clouds
2024-08-13 23:15:02,8.29,91,1024,broken clouds
2024-08-13 23:30:03,7.73,93,1024,broken clouds
2024-08-13 23:43:30,7.73,93,1024,broken clouds
2024-08-13 23:44:02,7.73,93,1024,broken clouds
2024-08-13 23:45:02,7.73,93,1024,broken clouds
2024-08-13 23:46:02,7.73,93,1024,broken clouds
2024-08-13 23:47:03,7.73,93,1024,broken clouds
2024-08-13 23:48:02,7.73,93,1024,broken clouds
2024-08-13 23:49:03,7.73,93,1024,broken clouds
2024-08-13 23:50:02,7.73,93,1024,broken clouds
2024-08-13 23:51:02,7.73,93,1024,broken clouds
2024-08-13 23:52:03,7.73,93,1024,broken clouds
2024-08-13 23:53:02,7.73,93,1024,broken clouds
2024-08-13 23:54:02,7.73,93,1024,broken clouds
2024-08-13 23:55:02,7.73,93,1024,broken clouds
2024-08-13 23:56:03,7.73,93,1024,broken clouds
2024-08-13 23:57:01,7.73,93,1024,broken clouds
2024-08-13 23:58:03,7.73,93,1024,broken clouds
2024-08-13 23:59:03,7.73,93,1024,broken clouds
2024-08-14 00:00:02,7.73,93,1024,broken clouds
2024-08-14 00:01:02,7.73,93,1024,broken clouds
2024-08-14 00:02:02,7.73,93,1024,broken clouds
2024-08-14 00:03:03,7.73,93,1024,broken clouds
2024-08-14 00:04:03,7.73,93,1024,broken clouds
2024-08-14 00:05:02,7.73,93,1024,broken clouds
2024-08-14 00:06:03,7.73,93,1024,broken clouds
2024-08-14 00:07:03,7.73,93,1024,broken clouds
2024-08-14 00:08:02,7.73,93,1024,broken clouds
2024-08-14 00:09:03,7.73,93,1024,broken clouds
2024-08-14 00:38:05,7.37,93,1023,broken clouds
2024-08-14 00:40:41,7.37,93,1023,broken clouds
2024-08-14 00:45:02,7.37,93,1023,broken clouds
2024-08-14 01:00:03,7.37,93,1023,broken clouds
2024-08-14 01:15:02,7.37,93,1023,broken clouds
2024-08-14 01:30:02,7.26,93,1023,overcast clouds
2024-08-14 09:15:02,10.03,71,1020,scattered clouds
2024-08-14 09:28:32,10.03,71,1020,scattered clouds
2024-08-14 09:30:03,10.03,71,1020,scattered clouds
2024-08-14 09:51:49,10.03,71,1019,scattered clouds
